164,170
176,5
93,104
117,86
20,162
14,178
12,12
174,7
72,73
131,166
40,60
27,8
64,158
3,7
80,12
159,92
174,118
129,99
182,162
146,118
97,151
154,160
154,29
45,154
36,78
3,62
44,56
178,132
104,125
171,24
1,191
122,79
149,121
38,169
125,167
33,25
57,81
13,35
24,39
40,76
127,69
195,11
167,167
71,25
69,116
18,61
141,189
86,93
165,161
25,72
182,21
101,104
130,145
96,155
135,53
89,158
58,180
74,74
56,187
173,37
159,27
106,149
65,200
125,13
146,124
95,153
90,135
45,41
83,193
70,165
104,28
62,21
9,111
130,8
50,56
71,173
25,5
127,58
85,99
102,131
42,120
164,48
6,145
192,67
104,153
201,13
84,182
97,141
66,94
91,89
44,5
188,47
145,121
172,144
43,24
155,98
135,125
181,120
94,187
29,145
95,134
112,5
76,27
164,168
136,33
54,155
6,92
36,4
68,113
143,65
147,57
72,71
81,108
31,121
85,49
129,75
78,22
77,54
74,136
83,18
9,192
139,112
49,72
70,29
174,37
51,48
20,94
93,96
15,28
54,50
25,79
106,87
145,109
89,163
59,150
41,33
193,172
87,138
30,131
199,27
114,175
111,194
175,42
151,169
89,193
58,199
7,11
5,92
186,45
196,64
61,71
105,59
52,131
177,29
151,182
143,158
119,72
132,4
126,113
44,100
160,169
201,12
138,40
110,126
182,155
32,121
15,3
90,118
48,157
191,80
59,115
165,179
101,142
92,117
18,83
57,161
48,25
150,60
34,196
136,119
186,154
169,162
4,145
61,11
29,107
93,193
65,51
39,80
65,169
9,100
115,163
58,177
23,27
178,21
146,161
123,119
5,6
31,147
37,76
2,62
122,157
185,141
13,8
145,183
186,199
142,99
139,199
16,43
10,136
197,144
179,189
33,26
25,101
76,154
191,187
107,154
162,123
120,181
21,88
3,165
85,178
83,191
154,149
115,168
130,159
153,193
125,195
6,12
65,64
85,13
57,124
156,152
88,51
41,142
20,152
70,171
189,116
170,57
63,17
150,115
30,125
169,138
118,167
40,50
80,15
22,8
68,85
147,129
133,130
169,172
