timestamp 1
cylinder_number 0
customer 0
job_number 0
grain_screened 0
ink_color 0
proof_on_ctd_ink 0
blade_mfg 0
cylinder_division 0
paper_type 0
ink_type 0
direct_steam 0
solvent_type 0
type_on_cylinder 0
press_type 0
press 0
unit_number 0
cylinder_size 0
paper_mill_location 0
plating_tank 0
proof_cut 1
viscosity 1
caliper 1
ink_temperature 1
humifity 1
roughness 1
blade_pressure 1
varnish_pct 1
press_speed 1
ink_pct 1
solvent_pct 1
ESA_Voltage 1
ESA_Amperage 1
wax 0
hardener 0
roller_durometer 0
current_density 0
anode_space_ratio 0
chrome_content 1
class(band type) 0
Missing Attribute Values 1
