25,33,1
27,20,1
69,86,3
45,29,1
20,20,1
130,113,2
127,103,2
118,125,2
53,92,3
71,88,3
37,29,1
67,71,3
31,34,1
60,89,3
65,75,3
26,27,1
45,41,1
46,34,1
20,49,1
57,98,3
40,33,1
48,39,1
126,130,2
78,77,3
64,99,3
44,30,1
130,120,2
67,85,3
41,23,1
48,33,1
79,94,3
128,110,2
80,70,3
104,101,2
28,33,1
104,124,2
52,79,3
30,37,1
62,85,3
70,92,3
103,106,2
105,107,2
59,89,3
106,111,2
120,116,2
66,83,3
50,42,1
101,122,2
128,119,2
104,121,2
68,76,3
22,46,1
104,118,2
122,126,2
43,37,1
35,27,1
110,114,2
50,81,3
108,102,2
71,91,3
113,108,2
121,116,2
118,114,2
67,75,3
68,88,3
40,40,1
61,71,3
24,23,1
40,37,1
70,74,3
44,26,1
53,94,3
52,99,3
115,101,2
129,110,2
51,71,3
126,101,2
107,115,2
26,34,1
44,28,1
35,50,1
45,46,1
123,124,2
60,99,3
62,90,3
52,86,3
130,102,2
28,26,1
124,102,2
107,129,2
40,30,1
80,72,3
32,20,1
39,44,1
76,75,3
125,127,2
57,73,3
74,92,3
48,48,1
69,81,3
116,124,2
27,39,1
35,46,1
111,112,2
129,117,2
76,77,3
50,31,1
34,20,1
71,80,3
80,85,3
56,73,3
75,98,3
103,128,2
47,25,1
115,117,2
102,107,2
42,31,1
22,28,1
49,31,1
26,40,1
70,71,3
118,122,2
115,105,2
119,114,2
68,83,3
61,73,3
33,22,1
73,76,3
101,111,2
62,93,3
124,125,2
70,81,3
126,128,2
36,41,1
125,120,2
39,25,1
46,27,1
31,50,1
79,95,3
50,33,1
123,110,2
55,95,3
116,123,2
69,93,3
48,25,1
127,110,2
103,110,2
65,85,3
125,100,2
111,117,2
